tournament_name,tournament_event,effective_start_year,effective_end_year,best_of_sets,sets_to_win,games_per_set,tiebreak_trigger_game,tiebreak_points,final_set_tiebreak_trigger_game,final_set_tiebreak_points,is_ad_scoring,notes
_default,MS,,,3,2,6,6-6,7,6-6,7,TRUE,"Default men’s format: Best of 3 sets, standard 7-point tiebreak at 6–6 in all sets with advantage scoring."
_default,WS,,,3,2,6,6-6,7,6-6,7,TRUE,"Default women’s format: Best of 3 sets, standard 7-point tiebreak at 6–6 in all sets with advantage scoring."
Australian Open,MS,,2018,5,3,6,6-6,7,6-6,7,TRUE,"Used best-of-5 with 7-point tiebreak at 6–6 in all sets until 2018."
Australian Open,MS,2019,,5,3,6,6-6,10,6-6,10,TRUE,"Switched to 10-point super tiebreak in the final set starting in 2019."
Australian Open,WS,,2018,3,2,6,6-6,7,6-6,7,TRUE,"Standard best-of-3 format with 7-point tiebreak at 6–6."
ATP Finals,MS,,2007,5,3,6,6-6,7,6-6,7,TRUE,"Final was best-of-5 sets through 2007."
ATP Finals,MS,2008,,3,2,6,6-6,7,6-6,7,TRUE,"Changed to best-of-3 format starting in 2008."
Davis Cup,MS,,2015,5,3,6,,,,,TRUE,"Played best-of-5 with no final-set tiebreak (advantage set) until 2015."
Davis Cup,MS,2016,2018,5,3,6,6-6,7,6-6,7,TRUE,"Introduced final-set tiebreak (7 points) between 2016 and 2018."
Davis Cup,MS,2019,,3,2,6,6-6,7,6-6,7,TRUE,"Switched to best-of-3 format in 2019."
French Open,MS,,2021,5,3,6,,,,,TRUE,"Used advantage sets with no final-set tiebreak until 2021."
French Open,MS,2022,,5,3,6,6-6,10,6-6,10,TRUE,"Adopted 10-point super tiebreak in the final set starting 2022."
French Open,WS,,2021,3,2,6,,,,,TRUE,"Used advantage sets with no final-set tiebreak until 2021."
French Open,WS,2022,,3,2,6,6-6,7,6-6,7,TRUE,"Adopted standard 7-point tiebreak at 6–6 starting 2022."
Laver Cup,MS,2017,,3,2,6,,10,,10,FALSE,"Best-of-3 sets; third set replaced by 10-point match tiebreak; no-ad scoring."
Next Gen ATP Finals,MS,2017,,5,3,4,3-3,7,3-3,7,FALSE,"Fast4-style scoring: sets to 4 games, tiebreak at 3–3, and no-ad scoring."
Olympics,MS,,2012,5,3,6,,,,,TRUE,"Played best-of-5 with no final-set tiebreak until 2012."
Olympics,MS,2016,,3,2,6,6-6,7,6-6,7,TRUE,"Standardized to best-of-3 with 7-point tiebreaks in 2016."
United Cup,MS,2023,,3,2,6,6-6,7,6-6,7,TRUE,"Best-of-3 singles format aligned with ATP Tour rules."
United Cup,WS,2023,,3,2,6,6-6,7,6-6,7,TRUE,"Best-of-3 singles format aligned with WTA Tour rules."
US Open,MS,1970,,5,3,6,6-6,7,6-6,7,TRUE,"Best-of-5 with 7-point tiebreak at 6–6 since 1970; first major to use tiebreaks."
US Open,WS,1970,,3,2,6,6-6,7,6-6,7,TRUE,"Best-of-3 with 7-point tiebreak at 6–6 since 1970; first major to use tiebreaks."
Wimbledon,MS,,2018,5,3,6,,,,,TRUE,"Played advantage sets in the final set (no tiebreak) until 2018."
Wimbledon,MS,2019,2021,5,3,6,12-12,7,12-12,7,TRUE,"Used 7-point tiebreak only at 12–12 in the final set from 2019 to 2021."
Wimbledon,MS,2022,,5,3,6,6-6,10,6-6,10,TRUE,"Unified rule in 2022: 10-point tiebreak at 6–6 in the final set."
Wimbledon,WS,,2018,3,2,6,,,,,TRUE,"Played advantage sets in the final set (no tiebreak) until 2018."
Wimbledon,WS,2019,2021,3,2,6,12-12,7,12-12,7,TRUE,"Used 7-point tiebreak only at 12–12 in the final set from 2019 to 2021."
Wimbledon,WS,2022,,3,2,6,6-6,7,6-6,7,TRUE,"Switched to standard 7-point tiebreak at 6–6 starting 2022."
